iso;gebietsname;wahlbet;a_ungueltig;a_spoe;a_oevp;a_fpoe;a_gruene;a_neos;a_pilz;a_gilt;a_floe;a_kpoe;a_weisse;gewinner;spoe;oevp;fpoe;gruene;neos;pilz;gilt;floe;kpoe;weisse
10309;Neufeld an der Leitha;77.23196881;1.009591116;40.99949006;21.11167772;27.53697093;1.376848547;3.263640999;4.13054564;0.86690464;0.254971953;0.407955125;0.050994391;spoe;804;414;540;27;64;81;17;5;8;1
10310;Oggau am Neusiedler See;81.78110129;1.080631754;35.04201681;35.71428571;23.36134454;1.344537815;1.764705882;2.016806723;0.084033613;0.336134454;0.25210084;0.084033613;oevp;417;425;278;16;21;24;1;4;3;1
10311;Oslip;81.72043011;0.956937799;39.25120773;35.02415459;18.47826087;2.536231884;2.173913043;1.328502415;0.483091787;0;0.603864734;0.120772947;spoe;325;290;153;21;18;11;4;0;5;1
10312;Purbach am Neusiedler See;78.04568528;0.921409214;28.88402626;34.02625821;28.06345733;1.969365427;2.516411379;3.391684902;0.547045952;0.10940919;0.273522976;0.218818381;oevp;528;622;513;36;46;62;10;2;5;4
10313;Sankt Margarethen im Burgenland;78.3347864;1.391207568;26.12866817;37.81038375;27.48306998;1.862302483;3.16027088;2.257336343;0.733634312;0;0.507900677;0.056433409;oevp;463;670;487;33;56;40;13;0;9;1
10314;Schützen am Gebirge;80.75880759;1.565995526;27.38636364;45;20.11363636;1.704545455;3.068181818;2.272727273;0.113636364;0.113636364;0.113636364;0.113636364;oevp;241;396;177;15;27;20;1;1;1;1
10315;Siegendorf;76.92307692;1.111111111;51.33057363;18.21407451;22.23536369;1.655824956;3.015966884;2.483737433;0.827912478;0.059136606;0.177409817;0;spoe;868;308;376;28;51;42;14;1;3;0
10316;Steinbrunn;79.4277257;0.49689441;37.76529338;25.84269663;25.96754057;1.872659176;4.307116105;2.496878901;1.186017478;0.062421973;0.436953808;0.062421973;spoe;605;414;416;30;69;40;19;1;7;1
10317;Trausdorf an der Wulka;77.07581227;0.780640125;36.90007868;28.95357986;23.91817467;2.517702596;2.43902439;3.855232101;0.629425649;0;0.708103855;0.078678206;spoe;469;368;304;32;31;49;8;0;9;1
10318;Wimpassing an der Leitha;77.30008598;1.001112347;26.29213483;28.42696629;32.58426966;1.91011236;4.943820225;3.595505618;1.685393258;0.112359551;0.337078652;0.112359551;fpoe;234;253;290;17;44;32;15;1;3;1
10319;Wulkaprodersdorf;78.68741543;1.117798796;38.95652174;33.04347826;16.52173913;3.391304348;2;4.434782609;0.782608696;0.086956522;0.608695652;0.173913043;spoe;448;380;190;39;23;51;9;1;7;2
10320;Loretto;76.44110276;0.327868852;30.26315789;32.56578947;27.63157895;1.315789474;3.618421053;3.618421053;0.657894737;0;0;0.328947368;oevp;92;99;84;4;11;11;2;0;0;1
10321;Stotzing;81.13496933;1.323251418;32.95019157;36.7816092;25.09578544;0.383141762;2.490421456;1.149425287;0.766283525;0;0.191570881;0.191570881;oevp;172;192;131;2;13;6;4;0;1;1
10322;Zillingtal;73.89558233;1.086956522;33.33333333;28.57142857;24.90842491;1.831501832;4.395604396;4.212454212;1.831501832;0.366300366;0.549450549;0;spoe;182;156;136;10;24;23;10;2;3;0
10323;Zagersdorf;75.89175892;1.620745543;38.71499176;37.0675453;17.6276771;0.658978583;2.471169687;1.482701812;0.823723229;0.329489292;0.658978583;0.164744646;spoe;235;225;107;4;15;9;5;2;4;1
10399;Wahlkarten - Eisenstadt-Umgebung;;0.586409107;36.36363636;33.72657876;16.89798751;3.539208883;3.435114504;3.990284525;0.902151284;0.104094379;0.6592644;0.381679389;spoe;1048;972;487;102;99;115;26;3;19;11
10400;Güssing;84.43902668;0.888395336;31.54621849;36.79551821;24.4929972;1.736694678;2.240896359;2.268907563;0.565826331;0.067226891;0.224089636;0.06162465;oevp;5631;6568;4372;310;400;405;101;12;40;11
10401;Bocksdorf;76.37681159;1.518026565;38.34296724;27.16763006;27.74566474;1.348747592;0.963391137;2.504816956;1.156069364;0.192678227;0.578034682;0;spoe;199;141;144;7;5;13;6;1;3;0
10402;Burgauberg-Neudauberg;73.37602928;1.246882793;28.53535354;34.21717172;31.31313131;1.893939394;1.641414141;2.02020202;0.252525253;0.126262626;0;0;oevp;226;271;248;15;13;16;2;1;0;0
10403;Eberau;75.37212449;0.359066427;21.8018018;49.54954955;21.44144144;2.342342342;2.342342342;2.162162162;0.18018018;0.18018018;0;0;oevp;121;275;119;13;13;12;1;1;0;0
10404;Gerersdorf-Sulz;76.95078031;0.31201248;30.82942097;43.66197183;20.0312989;2.190923318;1.408450704;1.251956182;0.469483568;0.156494523;0;0;oevp;197;279;128;14;9;8;3;1;0;0
10405;Güssing;69.29530201;0.726392252;29.95121951;39.75609756;23.36585366;1.512195122;2.487804878;2.341463415;0.487804878;0;0.048780488;0.048780488;oevp;614;815;479;31;51;48;10;0;1;1
10406;Güttenbach;78.73799726;1.742160279;29.43262411;44.32624113;16.31205674;3.723404255;3.368794326;1.595744681;0.886524823;0.177304965;0.177304965;0;oevp;166;250;92;21;19;9;5;1;1;0
10407;Heiligenbrunn;73.0941704;0.81799591;25.15463918;47.21649485;21.64948454;1.649484536;1.855670103;1.443298969;0.412371134;0.206185567;0.412371134;0;oevp;122;229;105;8;9;7;2;1;2;0
10408;Kukmirn;73.45454545;0.412541254;26.18061309;35.87406794;29.90886495;1.325600663;1.905550953;3.811101906;0.57995029;0;0.165700083;0.248550124;oevp;316;433;361;16;23;46;7;0;2;3
10409;Neuberg im Burgenland;76.65876777;1.545595054;35.63579278;36.57770801;22.60596546;0.313971743;1.098901099;2.354788069;0.784929356;0.313971743;0.156985871;0.156985871;oevp;227;233;144;2;7;15;5;2;1;1
10410;Neustift bei Güssing;74.12587413;0;41.50943396;18.86792453;33.33333333;2.201257862;1.257861635;1.886792453;0.943396226;0;0;0;spoe;132;60;106;7;4;6;3;0;0;0
10411;Olbendorf;74.22512235;1.318681319;41.98218263;19.37639198;32.07126949;1.44766147;2.672605791;1.113585746;1.002227171;0;0.334075724;0;spoe;377;174;288;13;24;10;9;0;3;0
10412;Ollersdorf im Burgenland;80.48484848;0.301204819;32.47734139;35.34743202;24.16918429;0.906344411;2.870090634;3.32326284;0.453172205;0;0.302114804;0.151057402;oevp;215;234;160;6;19;22;3;0;2;1
10413;Sankt Michael im Burgenland;77.5862069;1.26984127;25.72347267;40.51446945;27.49196141;1.446945338;2.411575563;2.090032154;0.321543408;0;0;0;oevp;160;252;171;9;15;13;2;0;0;0
10414;Stegersbach;71.92642788;1.076716016;34.55782313;29.52380952;26.8707483;1.700680272;2.789115646;3.333333333;0.680272109;0.068027211;0.408163265;0.068027211;spoe;508;434;395;25;41;49;10;1;6;1
10415;Stinatz;78.60851506;1.585204756;52.75167785;28.72483221;12.08053691;1.744966443;2.416107383;1.879194631;0.268456376;0;0.134228188;0;spoe;393;214;90;13;18;14;2;0;1;0
10416;Strem;76.99468085;1.208981002;19.40559441;49.65034965;25.52447552;1.923076923;1.048951049;1.923076923;0;0;0.174825175;0.34965035;oevp;111;284;146;11;6;11;0;0;1;2
10417;Tobaj;76.56675749;0.948991696;20;42.99401198;29.58083832;2.035928144;2.275449102;2.155688623;0.598802395;0;0.239520958;0.119760479;oevp;167;359;247;17;19;18;5;0;2;1
10418;Hackerberg;78.15699659;0;31.87772926;41.04803493;23.1441048;0.436681223;1.310043668;0.873362445;0.873362445;0;0.436681223;0;oevp;73;94;53;1;3;2;2;0;1;0
10419;Wörterberg;76.98209719;0.664451827;30.76923077;30.10033445;28.42809365;2.341137124;4.682274247;3.010033445;0;0;0.668896321;0;spoe;92;90;85;7;14;9;0;0;2;0
10420;Großmürbisch;76.1682243;1.226993865;34.16149068;47.82608696;10.55900621;3.105590062;1.863354037;1.863354037;0;0;0.621118012;0;oevp;55;77;17;5;3;3;0;0;1;0
10421;Inzenhof;78.65168539;1.904761905;36.89320388;29.61165049;30.58252427;0.970873786;0.970873786;0.970873786;0;0;0;0;spoe;76;61;63;2;2;2;0;0;0;0
10422;Kleinmürbisch;73.30097087;0;33.77483444;39.73509934;23.17880795;0.662251656;0;1.986754967;0;0;0.662251656;0;oevp;51;60;35;1;0;3;0;0;1;0
10423;Tschanigraben;72.54901961;0;67.56756757;13.51351351;16.21621622;2.702702703;0;0;0;0;0;0;spoe;25;5;6;1;0;0;0;0;0;0
10424;Heugraben;81.67539267;3.205128205;29.8013245;43.04635762;24.50331126;0;1.324503311;1.324503311;0;0;0;0;oevp;45;65;37;0;2;2;0;0;0;0
10425;Rohr im Burgenland;77.64705882;0;31.06060606;31.81818182;30.68181818;0.378787879;2.651515152;0.757575758;1.515151515;0.378787879;0.757575758;0;oevp;82;84;81;1;7;2;4;1;2;0
10426;Bildein;80.68181818;0.469483568;9.905660377;62.26415094;21.69811321;0.943396226;1.886792453;2.830188679;0;0;0;0.471698113;oevp;21;132;46;2;4;6;0;0;0;1
10427;Rauchwart;80.15873016;0.99009901;39.33333333;21.33333333;36.66666667;0.666666667;0.333333333;0.666666667;1;0;0;0;spoe;118;64;110;2;1;2;3;0;0;0
10428;Moschendorf;84.08408408;0.714285714;23.02158273;53.5971223;19.42446043;1.438848921;1.438848921;0.71942446;0.35971223;0;0;0;oevp;64;149;54;4;4;2;1;0;0;0
10499;Wahlkarten - Güssing;;0.4995005;34.03614458;37.65060241;18.17269076;2.81124498;3.263052209;2.761044177;0.803212851;0.100401606;0.401606426;0;oevp;678;750;362;56;65;55;16;2;8;0
10500;Jennersdorf;82.37952854;0.835654596;26.69390535;33.00987402;31.57984338;2.076949268;2.442969016;2.774940415;0.740551583;0.11916922;0.400068097;0.161729656;oevp;3136;3878;3710;244;287;326;87;14;47;19
10501;Deutsch Kaltenbrunn;74.24242424;0.834879406;31.80542563;29.18615529;31.24415341;1.777362021;1.777362021;2.432179607;0.748362956;0.187090739;0.654817587;0.187090739;spoe;340;312;334;19;19;26;8;2;7;2
10502;Eltendorf;72.69279393;0.869565217;28.59649123;31.57894737;32.98245614;1.929824561;2.105263158;1.929824561;0.526315789;0.175438596;0.175438596;0;fpoe;163;180;188;11;12;11;3;1;1;0
10503;Heiligenkreuz im Lafnitztal;71.13613101;0.575539568;27.93053546;30.96960926;34.58755427;2.315484805;1.881331404;1.736613603;0.434153401;0;0;0.1447178;fpoe;193;214;239;16;13;12;3;0;0;1
10504;Jennersdorf;69.24614506;0.536082474;19.32006633;34.41127695;37.02321725;2.611940299;2.736318408;2.736318408;0.538971808;0.165837479;0.331674959;0.124378109;fpoe;466;830;893;63;66;66;13;4;8;3
10505;Minihof-Liebau;76.40449438;0.294117647;29.94100295;26.99115044;34.95575221;1.179941003;3.392330383;1.769911504;1.474926254;0;0.147492625;0.147492625;fpoe;203;183;237;8;23;12;10;0;1;1
10506;Mogersdorf;76.48970748;0.424929178;34.85064011;27.02702703;30.01422475;1.991465149;2.418207681;2.275960171;0.853485064;0.284495021;0.142247511;0.142247511;spoe;245;190;211;14;17;16;6;2;1;1
10507;Neuhaus am Klausenbach;70.43701799;1.642335766;21.70686456;38.96103896;31.9109462;1.298701299;2.040816327;2.968460111;0.556586271;0;0.185528757;0.371057514;oevp;117;210;172;7;11;16;3;0;1;2
10508;Rudersdorf;75.57251908;1.226551227;26.88093499;36.08473338;28.56099343;1.241782323;2.337472608;3.506208912;0.73046019;0;0.657414171;0;oevp;368;494;391;17;32;48;10;0;9;0
10509;Sankt Martin an der Raab;78.29181495;1.515151515;27.15384615;33.46153846;30.84615385;2.384615385;2.153846154;2.230769231;1.153846154;0.153846154;0.307692308;0.153846154;oevp;353;435;401;31;28;29;15;2;4;2
10510;Weichselbaum;73.71048253;0.225733634;24.66063348;39.36651584;30.09049774;1.131221719;0.678733032;3.167420814;0.226244344;0;0.678733032;0;oevp;109;174;133;5;3;14;1;0;3;0
10511;Königsdorf;75.61374795;1.082251082;31.07221007;32.60393873;32.38512035;0.875273523;1.094091904;1.531728665;0.437636761;0;0;0;oevp;142;149;148;4;5;7;2;0;0;0
10512;Mühlgraben;79.16666667;1.503759398;39.69465649;20.99236641;31.29770992;1.908396947;2.290076336;2.290076336;1.526717557;0;0;0;spoe;104;55;82;5;6;6;4;0;0;0
10599;Wahlkarten - Jennersdorf;;0.554235946;26.51273885;35.98726115;22.37261146;3.503184713;4.140127389;5.015923567;0.71656051;0.238853503;0.955414013;0.557324841;oevp;333;452;281;44;52;63;9;3;12;7
10600;Mattersburg;83.78181126;1.083210241;36.42072214;29.96515679;23.83504997;1.902975074;3.147375273;3.350308228;0.704521959;0.187617261;0.363747751;0.122525558;spoe;9512;7826;6225;497;822;875;184;49;95;32
10601;Draßburg;75.51462622;0.860832138;57.16353111;17.36613603;18.52387844;0.868306802;2.315484805;1.736613603;1.013024602;0;0.868306802;0.1447178;spoe;395;120;128;6;16;12;7;0;6;1
10602;Forchtenstein;75.62988705;0.7466973;32.75462963;32.34953704;27.08333333;1.273148148;2.835648148;2.662037037;0.752314815;0.115740741;0;0.173611111;spoe;566;559;468;22;49;46;13;2;0;3
10603;Hirm;80.37634409;1.170568562;51.43824027;21.15059222;21.65820643;2.030456853;1.184433164;1.52284264;0.507614213;0;0.507614213;0;spoe;304;125;128;12;7;9;3;0;3;0
10604;Loipersbach im Burgenland;78.78172589;1.546391753;41.36125654;18.58638743;32.85340314;1.178010471;1.832460733;3.141361257;0.654450262;0;0.392670157;0;spoe;316;142;251;9;14;24;5;0;3;0
10605;Marz;78.33231893;1.087801088;33.22859387;35.42812255;22.30950511;2.278083268;3.063629222;2.670856245;0.314218382;0.235663786;0.392772977;0.078554595;oevp;423;451;284;29;39;34;4;3;5;1
10606;Mattersburg;72.63139392;1.040658277;33.87136219;29.8116899;25.33626804;2.445585718;3.252629005;3.692834434;0.758131573;0.269014429;0.440205429;0.122279286;spoe;1385;1219;1036;100;133;151;31;11;18;5
10607;Neudörfl;71.91901408;1.427988576;37.54139073;23.59271523;28.68377483;1.738410596;3.642384106;3.725165563;0.496688742;0.206953642;0.248344371;0.124172185;spoe;907;570;693;42;88;90;12;5;6;3
10608;Pöttelsdorf;70;0.702576112;29.48113208;38.44339623;20.75471698;2.830188679;4.009433962;2.594339623;1.650943396;0;0.235849057;0;oevp;125;163;88;12;17;11;7;0;1;0
10609;Pöttsching;77.83875053;0.976138829;35.6516977;28.14895947;24.86308872;2.245345016;3.285870756;3.943044907;0.711938664;0.054764513;0.766703176;0.328587076;spoe;651;514;454;41;60;72;13;1;14;6
10610;Rohrbach bei Mattersburg;76.31941257;1.623571858;39.24205379;30.92909535;21.94376528;1.222493888;2.322738386;2.628361858;0.488997555;0.855745721;0.305623472;0.061124694;spoe;642;506;359;20;38;43;8;14;5;1
10611;Bad Sauerbrunn;72.92147806;0.950118765;29.49640288;28.05755396;25.73940847;3.597122302;4.636290967;6.554756195;1.518784972;0;0.239808153;0.159872102;spoe;369;351;322;45;58;82;19;0;3;2
10612;Schattendorf;77.69230769;1.914191419;48.78869448;22.27456258;21.87079408;2.086137281;2.01884253;1.884253028;0.605652759;0;0.403768506;0.067294751;spoe;725;331;325;31;30;28;9;0;6;1
10613;Sieggraben;77.46062992;1.143583227;28.79177378;35.86118252;29.94858612;0.385604113;2.185089974;1.670951157;0.899742931;0.128534704;0.128534704;0;oevp;224;279;233;3;17;13;7;1;1;0
10614;Sigleß;81.8556701;0.755667506;46.57360406;23.98477157;19.79695431;2.157360406;3.934010152;2.157360406;1.015228426;0;0.38071066;0;spoe;367;189;156;17;31;17;8;0;3;0
10615;Wiesen;77.70177839;1.17370892;20.66508314;41.38954869;28.14726841;1.187648456;3.325415677;4.275534442;0.475059382;0.178147268;0.296912114;0.059382423;oevp;348;697;474;20;56;72;8;3;5;1
10616;Antau;76.83523654;0.42462845;24.30703625;40.08528785;28.57142857;1.279317697;1.492537313;3.198294243;0.852878465;0;0.213219616;0;oevp;114;188;134;6;7;15;4;0;1;0
10617;Baumgarten;77.40112994;0.729927007;51.28676471;25.73529412;13.05147059;2.573529412;2.941176471;3.860294118;0.183823529;0;0.183823529;0.183823529;spoe;279;140;71;14;16;21;1;0;1;1
10618;Zemendorf-Stöttera;78.72983871;0.256081946;31.70731707;44.03080873;18.10012837;0.770218228;2.567394095;1.668806162;1.155327343;0;0;0;oevp;247;343;141;6;20;13;9;0;0;0
10619;Krensdorf;85.24590164;1.923076923;33.57843137;37.5;23.7745098;1.225490196;2.696078431;0.980392157;0.245098039;0;0;0;oevp;137;153;97;5;11;4;1;0;0;0
10699;Wahlkarten - Mattersburg;;0.637958533;39.64686998;31.54093098;15.36918138;2.287319422;4.614767255;4.735152488;0.601926164;0.361155698;0.561797753;0.280898876;spoe;988;786;383;57;115;118;15;9;14;7
10700;Neusiedl am See;84.13420971;0.955422418;31.59858235;32.55256216;26.49825459;2.070509233;3.200362406;2.872598396;0.618221547;0.098595678;0.357076238;0.133237402;oevp;11858;12216;9944;777;1201;1078;232;37;134;50
10701;Andau;82.03407331;0.943989931;37.80177891;30.05082592;28.78017789;0.762388818;1.080050826;0.952986023;0.127064803;0.127064803;0.127064803;0.190597205;spoe;595;473;453;12;17;15;2;2;2;3
10702;Apetlon;79.11802853;0.983606557;31.12582781;39.15562914;25.08278146;0.82781457;1.655629139;1.158940397;0.496688742;0.082781457;0.248344371;0.165562914;oevp;376;473;303;10;20;14;6;1;3;2
10703;Bruckneudorf;72.78314311;0.784077201;35.56231003;20;33.13069909;2.006079027;4.194528875;3.100303951;1.519756839;0;0.243161094;0.243161094;spoe;585;329;545;33;69;51;25;0;4;4
10704;Deutsch Jahrndorf;82.36607143;1.35501355;36.53846154;29.3956044;29.12087912;0.274725275;1.373626374;1.923076923;0.274725275;0;0.274725275;0.824175824;spoe;133;107;106;1;5;7;1;0;1;3
10705;Frauenkirchen;74.14303851;1.198630137;35.87521664;29.86712883;26.34315425;1.559792028;3.119584055;1.906412478;0.751010976;0;0.462160601;0.11554015;spoe;621;517;456;27;54;33;13;0;8;2
10706;Gattendorf;79.44915254;0.8;32.93010753;31.1827957;29.43548387;0.537634409;2.150537634;1.88172043;0.537634409;0.268817204;0.672043011;0.403225806;spoe;245;232;219;4;16;14;4;2;5;3
10707;Gols;77.11313394;0.927487352;31.61702128;26.76595745;30.46808511;3.191489362;3.191489362;2.893617021;1.14893617;0.127659574;0.29787234;0.29787234;spoe;743;629;716;75;75;68;27;3;7;7
10708;Halbturn;81.01587302;1.567398119;23.88535032;43.31210191;24.36305732;2.388535032;2.229299363;2.149681529;0.557324841;0.079617834;0.875796178;0.159235669;oevp;300;544;306;30;28;27;7;1;11;2
10709;Illmitz;81.2195122;0.900900901;37.6969697;34.72727273;22;0.787878788;2.484848485;1.939393939;0.121212121;0;0.181818182;0.060606061;spoe;622;573;363;13;41;32;2;0;3;1
10710;Jois;76.72343877;0.634249471;28.93617021;36.80851064;27.0212766;0.744680851;2.234042553;3.191489362;0.212765957;0.319148936;0.531914894;0;oevp;272;346;254;7;21;30;2;3;5;0
10711;Kittsee;75.0672043;1.253357207;30.9156845;35.44877607;27.19854941;1.178603808;2.175883953;2.62919311;0.362647325;0;0;0.090661831;oevp;341;391;300;13;24;29;4;0;0;1
10712;Mönchhof;76.10958904;1.151907847;25.12745812;39.11143481;29.78878369;1.238164603;2.62199563;1.456664239;0.436999272;0;0.218499636;0;oevp;345;537;409;17;36;20;6;0;3;0
10713;Neusiedl am See;71.83075129;0.90445269;26.44512052;34.63608706;23.33255324;3.487011467;6.248537327;4.329510882;0.631874561;0.163819331;0.514860754;0.210624854;oevp;1130;1480;997;149;267;185;27;7;22;9
10714;Nickelsdorf;78.97681855;1.113360324;36.3357216;25.99795292;28.24974411;2.86591607;1.330603889;3.787103378;0.511770727;0;0.818833163;0.102354145;spoe;355;254;276;28;13;37;5;0;8;1
10715;Pama;81.77570093;0.428571429;37.44619799;41.46341463;16.78622669;0.430416069;1.291248207;1.865136298;0.286944046;0;0.430416069;0;oevp;261;289;117;3;9;13;2;0;3;0
10716;Pamhagen;73.44192635;1.06075217;29.33723197;41.71539961;23.0994152;0.779727096;2.436647173;0.974658869;1.072124756;0;0.389863548;0.194931774;oevp;301;428;237;8;25;10;11;0;4;2
10717;Parndorf;70.12539185;1.072865445;35.8337099;19.43063714;35.65295978;2.620876638;2.033438771;3.117939449;1.03931315;0;0.225937641;0.045187528;spoe;793;430;789;58;45;69;23;0;5;1
10718;Podersdorf am See;75.14285714;1.064638783;23.13604919;44.50422752;22.05995388;1.767870869;4.304381245;3.689469639;0.384319754;0;0.076863951;0.076863951;oevp;301;579;287;23;56;48;5;0;1;1
10719;Sankt Andrä am Zicksee;80.69565217;1.185344828;29.55288986;40.67611778;24.64558342;0.654307525;2.39912759;1.308615049;0.327153762;0.109051254;0.327153762;0;oevp;271;373;226;6;22;12;3;1;3;0
10720;Tadten;77.14285714;0.510855683;34.53145058;45.57124519;15.40436457;0.641848524;2.567394095;0.898587933;0.256739409;0.128369705;0;0;oevp;269;355;120;5;20;7;2;1;0;0
10721;Wallern im Burgenland;79.18676775;1.740644038;36.58104517;30.82373782;26.7493357;1.505757307;1.860053144;1.417183348;0.708591674;0.177147919;0.177147919;0;spoe;413;348;302;17;21;16;8;2;2;0
10722;Weiden am See;78.17522032;0.729442971;25.4509018;31.66332665;29.92651971;2.471609886;4.943219773;4.408817635;0.668002672;0.133600534;0.267201069;0.066800267;oevp;381;474;448;37;74;66;10;2;4;1
10723;Winden am See;74.8850046;0.491400491;39.62962963;26.04938272;25.55555556;2.345679012;2.098765432;3.333333333;0.617283951;0;0.37037037;0;spoe;321;211;207;19;17;27;5;0;3;0
10724;Zurndorf;80.8056872;0.659824047;35.64575646;22.1402214;33.28413284;1.623616236;3.247232472;3.173431734;0.221402214;0.295202952;0.295202952;0.073800738;spoe;483;300;451;22;44;43;3;4;4;1
10725;Neudorf;75.52083333;1.83908046;27.86885246;38.87587822;25.29274005;0.702576112;3.278688525;2.341920375;1.170960187;0.234192037;0.234192037;0;oevp;119;166;108;3;14;10;5;1;1;0
10726;Potzneusiedl;79.76470588;0.884955752;36.01190476;18.45238095;39.28571429;2.976190476;1.488095238;1.785714286;0;0;0;0;fpoe;121;62;132;10;5;6;0;0;0;0
10727;Edelstal;76.82926829;0.529100529;27.39361702;40.69148936;26.32978723;1.063829787;1.329787234;2.925531915;0;0;0.265957447;0;oevp;103;153;99;4;5;11;0;0;1;0
10799;Wahlkarten - Neusiedl am See;;0.657330666;30.43728423;33.4579977;20.65592635;4.113924051;4.545454545;5.120828539;0.690448792;0.201380898;0.604142693;0.172612198;oevp;1058;1163;718;143;158;178;24;7;21;6
10800;Oberpullendorf;85.43839819;1.043241609;35.19480519;35.69518717;21.60045837;1.734148205;2.188693659;2.257448434;0.618792972;0.294117647;0.305576776;0.110771581;oevp;9214;9345;5655;454;573;591;162;77;80;29
