iso;spoe;oevp;fpoe;gruene;neos;pilz;gilt;floe;kpoe;weisse;abgegebene;ungueltige;gueltige
10709;622;573;363;13;41;32;2;0;3;1;1665;15;1650
10710;272;346;254;7;21;30;2;3;5;0;946;6;940
10711;341;391;300;13;24;29;4;0;0;1;1117;14;1103
10712;345;537;409;17;36;20;6;0;3;0;1389;16;1373
10713;1130;1480;997;149;267;185;27;7;22;9;4312;39;4273
10714;355;254;276;28;13;37;5;0;8;1;988;11;977
10715;261;289;117;3;9;13;2;0;3;0;700;3;697
10716;301;428;237;8;25;10;11;0;4;2;1037;11;1026
10717;793;430;789;58;45;69;23;0;5;1;2237;24;2213
10718;301;579;287;23;56;48;5;0;1;1;1315;14;1301
10719;271;373;226;6;22;12;3;1;3;0;928;11;917
10720;269;355;120;5;20;7;2;1;0;0;783;4;779
10721;413;348;302;17;21;16;8;2;2;0;1149;20;1129
10722;381;474;448;37;74;66;10;2;4;1;1508;11;1497
10723;321;211;207;19;17;27;5;0;3;0;814;4;810
10724;483;300;451;22;44;43;3;4;4;1;1364;9;1355
10725;119;166;108;3;14;10;5;1;1;0;435;8;427
10726;121;62;132;10;5;6;0;0;0;0;339;3;336
10727;103;153;99;4;5;11;0;0;1;0;378;2;376
10799;1058;1163;718;143;158;178;24;7;21;6;3499;23;3476
10800;9214;9345;5655;454;573;591;162;77;80;29;26456;276;26180
10801;543;785;401;17;47;36;10;33;3;1;1892;16;1876
10802;302;393;150;23;25;14;9;1;4;0;929;8;921
10803;214;314;100;24;18;18;3;1;2;1;700;5;695
10804;267;389;150;25;17;16;2;0;6;3;883;8;875
10805;375;478;284;13;22;20;2;0;4;0;1209;11;1198
10806;179;83;101;5;8;17;1;3;1;0;400;2;398
10807;525;324;325;19;19;12;8;1;2;2;1247;10;1237
10808;241;207;169;6;15;5;7;2;2;2;665;9;656
10809;376;446;311;23;26;30;7;2;1;4;1238;12;1226
10810;163;214;144;6;13;6;2;1;2;2;559;6;553
10811;418;367;331;9;18;21;10;0;3;1;1194;16;1178
10812;312;267;158;18;12;17;11;0;5;0;808;8;800
10813;369;458;239;14;22;20;1;1;0;0;1141;17;1124
10814;414;163;127;3;7;17;2;2;4;0;752;13;739
10815;274;413;142;17;17;20;5;1;7;0;907;11;896
10816;464;587;377;46;53;53;3;4;6;2;1610;15;1595
10817;273;539;209;9;17;21;4;0;0;1;1083;10;1073
10818;228;195;106;7;16;15;2;0;0;0;582;13;569
10819;218;177;96;1;4;7;3;1;1;0;511;3;508
10820;215;156;147;9;12;26;2;1;4;0;577;5;572
10821;281;303;181;12;32;19;4;0;0;0;837;5;832
10822;378;266;203;15;18;13;5;1;0;1;916;16;900
10823;546;222;324;17;21;18;14;1;4;3;1180;10;1170
10824;160;108;98;2;6;9;5;1;0;0;392;3;389
10825;146;146;97;4;6;8;2;0;0;0;412;3;409
10826;117;200;90;9;6;1;2;0;0;0;426;1;425
10827;100;73;40;3;4;6;1;0;2;0;232;3;229
10828;196;174;123;7;8;10;4;1;1;0;536;12;524
10899;920;898;432;91;84;116;31;19;16;6;2638;25;2613
10900;11785;10757;10164;622;909;861;207;41;119;32;35865;368;35497
10901;236;337;236;10;28;28;3;1;0;1;889;9;880
10902;536;359;351;17;16;16;12;1;2;1;1325;14;1311
10903;123;352;248;6;13;19;5;1;1;4;782;10;772
10904;388;175;240;6;8;9;2;0;1;0;844;15;829
10905;804;583;507;33;43;43;7;0;3;3;2049;23;2026
10906;190;180;115;6;8;5;0;0;1;0;510;5;505
10907;311;186;362;16;16;24;1;0;5;0;926;5;921
10908;323;311;269;8;16;16;11;2;3;3;971;9;962
10909;225;188;266;21;5;17;2;2;3;1;735;5;730
10910;315;240;249;8;8;9;3;0;2;0;839;5;834
10911;238;202;245;10;18;24;2;2;0;1;754;12;742
10912;327;377;336;21;48;39;9;0;4;1;1173;11;1162
10913;182;144;96;2;6;11;1;0;0;0;445;3;442
10914;373;382;248;6;16;12;3;1;2;0;1057;14;1043
10915;248;173;210;3;8;9;1;0;5;1;664;6;658
10916;353;485;431;38;41;46;11;3;3;0;1426;15;1411
10917;1171;1130;1063;83;142;113;29;7;14;4;3791;35;3756
10918;948;744;1065;79;119;81;16;7;12;1;3104;32;3072
10919;607;452;584;13;32;31;2;0;2;0;1752;29;1723
10920;371;199;350;12;21;16;8;1;3;1;993;11;982
10921;353;269;228;5;14;18;8;0;8;1;915;11;904
10922;106;204;96;14;11;11;1;0;5;0;451;3;448
10923;460;346;325;6;19;29;2;1;2;0;1203;13;1190
10924;254;264;131;8;9;8;2;9;1;0;692;6;686
10925;157;194;137;5;10;14;1;1;1;0;526;6;520
10926;143;208;153;10;9;13;1;1;3;0;543;2;541
10927;204;256;245;4;8;14;12;0;2;1;749;3;746
10928;220;299;275;10;27;21;4;0;3;3;870;8;862
10929;167;133;171;5;22;9;6;0;0;0;519;6;513
10930;151;152;129;12;20;11;4;0;1;0;486;6;480
10931;57;88;46;0;0;3;1;0;0;0;200;5;195
10932;68;54;31;0;2;1;0;0;0;0;157;1;156
10999;1176;1091;726;145;146;141;37;1;27;5;3525;30;3495
20000;99923;91458;108215;8249;14692;12298;3097;466;1712;678;345354;4566;340788
20099;0;0;0;0;0;0;0;0;0;0;0;0;0
2A000;27426;25420;25518;3158;4917;4574;954;135;614;186;94029;1127;92902
2A099;159;152;72;49;77;56;9;0;8;0;605;23;582
2B000;23894;17411;23813;1852;3265;2907;867;93;398;166;75608;942;74666
2B099;104;98;89;32;55;34;5;0;3;2;423;1;422
2C000;20944;23224;26250;1562;3149;2215;634;113;271;149;79622;1111;78511
2C099;89;119;50;21;51;38;6;1;6;1;385;3;382
2D000;27659;25403;32634;1677;3361;2602;642;125;429;177;96095;1386;94709
2D099;98;97;71;14;38;25;3;0;5;0;355;4;351
20100;16446;14723;14568;2108;3094;2945;591;93;405;106;55675;596;55079
20101;14320;12497;13257;1646;2570;2470;512;84;341;85;48330;548;47782
20199;2126;2226;1311;462;524;475;79;9;64;21;7345;48;7297
20200;10927;7683;10323;914;1637;1484;419;44;196;80;34095;388;33707
20201;9657;6696;9608;683;1378;1288;373;38;167;68;30317;361;29956
20299;1270;987;715;231;259;196;46;6;29;12;3778;27;3751
20300;3410;4307;3157;256;433;299;90;14;45;22;12239;206;12033
20302;180;283;178;10;24;10;2;2;2;1;705;13;692
20305;1227;1162;1065;71;132;120;19;6;15;5;3878;56;3822
20306;324;552;483;16;41;19;16;0;4;1;1478;22;1456
20307;494;699;472;32;56;46;13;3;3;2;1864;44;1820
20316;335;282;247;10;19;19;5;0;0;4;934;13;921
20320;181;199;226;15;35;12;11;0;1;0;695;15;680
20321;128;458;128;11;17;12;5;0;2;2;783;20;763
20399;541;672;358;91;109;61;19;3;18;7;1902;23;1879
20400;10821;10545;10878;1001;1746;1573;354;42;201;80;37749;508;37241
20402;1411;985;1520;69;148;139;44;5;17;7;4409;64;4345
20403;507;316;337;28;52;55;13;1;11;3;1342;19;1323
20405;1336;791;1265;92;134;157;35;1;15;9;3901;66;3835
20409;344;528;544;23;68;42;14;0;6;5;1602;28;1574
20412;400;375;345;42;79;66;18;2;6;3;1351;15;1336
20414;495;505;512;44;68;74;10;2;12;7;1758;29;1729
20415;386;638;374;83;164;92;15;2;15;2;1790;19;1771
20416;347;271;291;35;38;47;12;0;8;2;1056;5;1051
20417;325;411;401;36;91;72;17;7;5;3;1393;25;1368
20418;583;660;620;67;108;112;15;4;10;3;2214;32;2182
20419;162;289;158;29;59;47;12;0;6;2;770;6;764
20421;596;687;820;57;118;76;16;2;7;5;2411;27;2384
20424;265;521;346;31;105;61;16;1;4;3;1374;21;1353
20425;527;580;667;34;74;44;15;4;10;2;1986;29;1957
20428;198;191;177;7;15;10;4;0;3;0;612;7;605
20432;352;393;425;19;47;62;15;0;6;2;1339;18;1321
20435;343;296;399;22;32;32;12;4;6;0;1172;26;1146
20441;169;75;26;11;19;29;1;1;2;0;337;4;333
20442;594;526;623;32;59;88;17;1;14;5;1981;22;1959
20499;1481;1507;1028;240;268;268;53;5;38;17;4951;46;4905
20500;9762;9224;12635;562;1244;934;240;64;138;62;35330;465;34865
20501;774;577;937;32;93;67;19;3;7;3;2546;34;2512
20502;497;376;586;13;39;30;9;3;6;1;1594;34;1560
20503;85;139;278;2;3;5;2;1;1;1;526;9;517
20504;151;208;334;12;24;14;9;1;5;2;771;11;760
20505;692;719;1107;36;91;65;18;3;8;3;2773;31;2742
20506;102;129;178;3;11;3;1;1;0;0;431;3;428
20508;201;231;321;13;18;11;1;3;1;0;808;8;800
20509;230;266;265;13;34;28;3;1;0;2;856;14;842
20511;278;152;357;3;12;11;5;0;8;0;838;12;826
20512;246;409;380;9;46;22;7;3;6;0;1147;19;1128
20513;288;288;454;10;37;28;7;1;3;3;1134;15;1119
20515;567;462;623;37;70;49;21;3;9;5;1870;24;1846
20518;236;413;474;9;27;19;3;10;3;2;1213;17;1196
20519;202;120;174;3;21;14;3;2;2;1;550;8;542
20520;147;169;370;16;21;15;4;2;4;1;758;9;749
20523;605;482;750;25;99;87;18;2;5;4;2117;40;2077
20527;2159;1355;2136;111;227;190;48;7;30;23;6375;89;6286
20530;219;356;556;6;38;23;7;2;5;1;1225;12;1213
20531;243;394;525;15;20;26;2;0;3;1;1242;13;1229
20534;541;595;714;49;108;74;17;6;6;2;2140;28;2112
20599;1299;1384;1116;145;205;153;36;10;26;7;4416;35;4381
20600;12841;13808;16333;954;1932;1256;390;76;170;89;48503;654;47849
20601;167;260;306;12;35;26;1;0;1;0;810;2;808
20602;310;199;433;5;19;18;7;1;2;2;1011;15;996
20603;173;343;154;16;27;12;8;1;2;3;749;10;739
20604;245;317;238;12;40;19;3;1;1;3;899;20;879
20605;103;292;299;12;28;18;6;1;3;3;771;6;765
20607;148;192;261;5;20;11;3;2;0;0;649;7;642
20608;393;398;475;32;66;26;11;0;7;1;1431;22;1409
20609;210;293;357;20;38;23;10;1;4;6;978;16;962
20610;82;243;175;4;27;23;1;3;3;1;571;9;562
20611;355;398;329;14;54;18;11;1;4;3;1205;18;1187
20613;229;210;201;11;32;12;2;0;3;0;713;13;700
20616;259;279;381;12;33;27;8;0;1;1;1012;11;1001
20618;197;105;91;6;18;10;3;1;1;0;437;5;432
20619;304;246;457;19;24;23;9;0;2;2;1105;19;1086
20620;435;574;511;46;87;53;15;9;3;6;1762;23;1739
20622;61;168;203;5;7;14;6;1;4;1;477;7;470
20624;166;70;277;3;12;13;3;0;3;0;557;10;547
20625;170;240;187;16;9;14;2;1;1;0;654;14;640
20627;250;374;439;17;43;13;8;2;3;0;1163;14;1149
20630;1036;796;1158;44;113;89;36;6;11;6;3348;53;3295
20631;186;228;393;11;22;11;8;1;1;3;871;7;864
20632;234;340;394;15;24;17;3;2;3;1;1055;22;1033
20633;173;162;313;7;20;17;3;1;2;3;715;14;701
20634;753;1021;1147;74;187;82;26;4;11;9;3360;46;3314
20635;2466;1810;2657;146;309;274;62;14;29;14;7894;113;7781
20636;176;213;414;5;11;15;5;1;2;1;851;8;843
20637;376;291;386;16;31;27;9;1;4;2;1159;16;1143
20638;140;211;236;5;25;12;3;1;2;0;655;20;635
20639;57;195;106;9;24;8;2;1;1;2;406;1;405
20640;139;172;225;9;25;16;3;0;1;0;598;8;590
20642;185;311;409;4;23;19;6;1;3;0;977;16;961
20643;382;359;503;18;64;35;16;2;5;3;1400;13;1387
20644;414;275;451;18;39;31;6;5;5;3;1269;22;1247
20699;1867;2223;1767;306;396;230;85;11;42;10;6991;54;6937
20700;12863;9630;13401;906;1573;1389;443;49;199;84;41090;553;40537
20701;255;145;348;14;26;23;10;0;4;3;834;6;828
20702;1276;726;1244;49;115;105;31;2;17;9;3626;52;3574
20703;161;185;362;9;20;14;5;1;2;1;775;15;760
20705;503;180;457;21;41;37;10;1;12;1;1276;13;1263
20707;93;124;132;4;17;8;1;0;1;0;388;8;380
20708;167;152;267;8;18;17;4;1;2;1;644;7;637
20710;439;208;505;25;33;34;6;0;8;2;1290;30;1260
20711;1504;1266;1481;119;203;152;52;4;20;4;4866;61;4805
20712;251;130;333;7;17;19;9;0;1;1;795;27;768
20713;163;158;105;5;15;8;3;0;3;0;464;4;460
20719;437;352;424;22;41;29;19;1;3;4;1356;24;1332
20720;1053;777;1266;50;134;104;38;6;17;17;3519;57;3462
20721;305;251;368;23;32;43;16;5;6;2;1062;11;1051
20722;988;436;628;62;78;88;33;3;14;6;2370;34;2336
20723;255;230;412;10;28;21;14;4;3;2;994;15;979
20724;635;565;755;70;94;98;35;1;21;5;2311;32;2279
20725;1274;1269;1436;82;218;190;50;2;16;6;4613;70;4543
20726;607;370;640;22;64;62;19;3;8;6;1823;22;1801
20727;875;709;1096;68;104;103;27;7;7;7;3039;36;3003
20799;1622;1397;1142;236;275;234;61;8;34;7;5045;29;5016
20800;8252;7075;7705;641;1026;791;191;28;154;58;26351;430;25921
20801;682;596;547;40;75;69;18;1;21;6;2099;44;2055
20802;122;163;166;7;12;9;4;0;5;2;498;8;490
20803;1089;821;1012;77;101;75;17;3;17;10;3262;40;3222
20804;576;271;264;21;78;35;12;1;11;3;1297;25;1272
20805;443;269;351;58;51;42;11;1;11;3;1261;21;1240
20806;314;337;339;20;27;34;6;0;4;2;1097;14;1083
20807;343;197;250;36;42;29;7;0;13;0;940;23;917
20808;459;650;724;27;57;47;12;6;6;5;2024;31;1993
20810;154;174;199;13;11;12;0;0;6;0;588;19;569
20812;289;222;304;12;24;11;6;2;5;0;894;19;875
20813;647;694;693;55;111;88;25;3;12;7;2369;34;2335
20815;398;268;310;21;59;35;4;0;1;4;1116;16;1100
20817;1851;1553;1993;121;214;176;46;8;17;9;6096;108;5988
20899;885;860;553;133;164;129;23;3;25;7;2810;28;2782
20900;9547;9007;12223;460;1053;852;208;33;132;57;34059;487;33572
20901;754;753;923;35;73;52;8;3;4;5;2651;41;2610
20905;393;439;528;8;49;25;6;0;6;2;1475;19;1456
20909;572;389;662;8;24;43;11;2;3;2;1742;26;1716
20911;131;226;207;7;15;8;1;0;4;2;606;5;601
20912;270;329;376;12;34;16;8;2;3;2;1068;16;1052
20913;1501;1317;2406;48;147;110;36;9;13;15;5688;86;5602
20914;295;287;509;7;27;18;6;0;3;1;1180;27;1153
20918;529;523;736;25;55;37;6;2;5;2;1955;35;1920
20923;4100;3824;5035;178;483;440;100;12;68;20;14467;207;14260
20999;1002;920;841;132;146;103;26;3;23;6;3227;25;3202
21000;4604;4990;6710;331;733;622;148;22;50;37;18495;248;18247
21001;93;167;233;7;13;10;2;0;0;0;532;7;525
21002;1951;1924;2798;115;289;261;57;11;28;18;7564;112;7452
21003;349;231;331;13;20;28;9;0;3;1;997;12;985
21004;105;182;241;9;16;12;7;2;3;0;587;10;577
21005;268;354;532;12;57;38;10;4;1;5;1307;26;1281
21006;67;117;154;12;27;22;4;0;1;0;405;1;404
21007;294;284;357;6;41;21;5;0;1;2;1030;19;1011
21008;156;165;380;11;14;13;2;0;3;2;752;6;746
21009;460;509;685;24;81;65;21;2;3;3;1874;21;1853
21010;200;268;344;9;32;17;6;0;1;0;890;13;877
21099;661;789;655;113;143;135;25;3;6;6;2557;21;2536
30000;267348;384279;280011;29619;51815;44767;12401;1460;5716;2123;1092339;12800;1079539
30099;0;0;0;0;0;0;0;0;0;0;0;0;0
3A000;31774;57779;36566;3976;6676;6117;1417;300;738;257;147252;1652;145600
3A099;188;222;174;70;81;77;12;0;13;0;848;11;837
3B000;30829;63820;38849;3412;6036;4595;1575;237;664;273;152609;2319;150290
3B099;147;188;133;51;63;80;12;0;14;0;692;4;688
3C000;39144;63455;42380;4105;7175;5100;2048;189;790;420;167117;2311;164806
3C099;163;160;100;67;75;75;10;0;19;1;675;5;670
3D000;51872;67690;48569;6842;10982;9993;2744;241;1208;413;202826;2272;200554
3D099;301;323;171;88;125;108;19;3;13;2;1161;8;1153
3;34977;41957;37961;2804;5209;4930;1588;140;693;271;132065;1535;130530
3E+99;137;143;119;30;45;48;5;1;10;3;541;0;541
3F000;44068;51890;38326;5916;11321;9173;1842;204;1011;285;165531;1495;164036
3F099;320;365;255;87;154;130;15;1;13;3;1353;10;1343
3G000;34684;37688;37360;2564;4416;4859;1187;149;612;204;124939;1216;123723
3G099;182;173;186;33;66;3;53;4;0;14;719;5;714
30100;4236;4648;3500;460;750;665;169;13;129;17;14765;178;14587
30101;3696;3964;3164;357;620;539;148;12;105;15;12779;159;12620
30199;540;684;336;103;130;126;21;1;24;2;1986;19;1967
30200;11037;8188;7409;1005;1393;1434;404;39;248;75;31570;338;31232
30201;9642;7128;6742;841;1209;1189;338;36;215;67;27717;310;27407
30299;1395;1060;667;164;184;245;66;3;33;8;3853;28;3825
30300;1706;3135;1573;272;403;322;76;5;35;22;7644;95;7549
30301;1450;2685;1431;196;328;259;63;5;23;19;6548;89;6459
30399;256;450;142;76;75;63;13;0;12;3;1096;6;1090
30400;7133;6390;6754;684;1067;1127;304;23;178;52;23943;231;23712
30401;6347;5547;6201;568;914;977;257;22;154;47;21251;217;21034
30499;786;843;553;116;153;150;47;1;24;5;2692;14;2678
30500;18862;28927;19727;1943;3428;2326;914;87;379;193;77857;1071;76786
30501;253;617;361;30;41;34;14;3;4;1;1381;23;1358
30502;3788;3507;3731;294;529;425;164;12;73;43;12732;166;12566
30503;319;998;615;52;105;46;23;0;14;3;2219;44;2175
30504;367;886;626;41;97;46;20;3;10;5;2134;33;2101
30506;502;808;585;38;83;63;35;4;10;5;2162;29;2133
30507;222;744;340;30;64;46;20;0;7;3;1497;21;1476
30508;715;330;462;34;49;55;11;1;8;1;1681;15;1666
30509;415;463;293;20;54;37;23;5;6;5;1342;21;1321
30510;84;384;249;9;17;9;6;3;4;0;778;13;765
30511;232;860;436;41;93;42;14;0;3;4;1756;31;1725
30512;147;516;311;16;51;41;11;0;5;4;1113;11;1102
30514;724;1255;719;103;189;89;43;11;19;12;3197;33;3164
30515;649;861;591;50;91;46;36;2;0;2;2359;31;2328
30516;263;442;212;15;39;23;13;0;3;1;1024;13;1011
30517;508;395;432;21;25;46;14;3;7;8;1491;32;1459
30520;232;769;525;36;106;29;4;1;5;2;1745;36;1709
30521;248;639;433;10;55;19;7;4;2;2;1444;25;1419
30522;200;438;302;21;44;38;8;1;1;1;1066;12;1054
30524;123;250;131;8;21;28;5;1;1;0;577;9;568
30526;70;163;92;7;11;5;2;0;1;0;354;3;351
30527;321;710;496;33;74;30;21;1;4;2;1713;21;1692
30529;498;494;405;46;58;42;20;2;14;6;1612;27;1585
30530;562;1394;755;75;129;91;44;4;7;15;3109;33;3076
30531;2120;1322;1352;133;283;186;49;4;41;13;5586;83;5503
30532;374;833;509;75;115;58;22;3;21;5;2040;25;2015
30533;783;693;553;46;85;71;29;1;6;7;2323;49;2274
30534;269;539;271;23;56;31;9;3;2;1;1226;22;1204
30536;130;418;241;13;28;12;5;2;1;1;867;16;851
30538;289;501;295;26;54;41;8;1;4;2;1242;21;1221
30539;201;692;334;41;60;33;16;3;5;3;1405;17;1388
30541;241;374;292;27;58;37;8;3;2;3;1059;14;1045
30542;164;653;298;13;41;20;7;0;7;2;1218;13;1205
30543;331;1176;495;67;84;59;24;2;6;11;2291;36;2255
30544;145;546;332;21;41;32;14;0;4;1;1159;23;1136
30599;2373;3257;1653;428;498;416;165;4;72;19;8955;70;8885
30600;24943;25368;23643;2405;4821;4274;1105;127;478;166;88251;921;87330
30601;289;489;398;28;80;76;27;3;6;2;1416;18;1398
30602;214;462;325;15;36;72;16;1;7;0;1158;10;1148
30603;1855;1873;1497;206;397;377;79;7;43;11;6423;78;6345
30604;3164;4676;2594;618;1045;813;135;30;78;17;13273;103;13170
30605;1545;991;1407;105;215;207;60;5;22;14;4629;58;4571
30607;1660;1465;1990;124;264;237;65;10;26;14;5916;61;5855
30608;723;623;773;40;114;113;30;5;15;3;2476;37;2439
30609;65;274;131;11;14;22;10;2;2;4;540;5;535
30612;326;218;357;9;32;36;8;0;1;0;1003;16;987
30613;138;321;214;33;52;47;11;1;3;0;824;4;820
30614;207;456;225;18;52;49;10;1;6;1;1039;14;1025
30615;422;242;407;31;47;37;16;2;6;1;1226;15;1211
30616;196;290;318;7;47;51;17;1;2;4;944;11;933
30618;1288;1057;1202;89;221;199;53;9;28;6;4197;45;4152
30620;776;714;824;49;139;120;33;4;17;2;2717;39;2678
30621;421;259;537;16;41;35;17;0;8;3;1356;19;1337
30623;647;801;590;59;115;104;38;0;16;3;2394;21;2373
30625;533;646;421;74;136;133;20;2;9;6;1998;18;1980
30626;1105;964;1253;75;141;142;49;7;14;8;3798;40;3758
30627;502;408;429;53;81;49;17;3;11;5;1569;11;1558
30629;271;294;339;11;43;23;3;2;2;5;999;6;993
30631;380;310;337;22;55;54;20;1;8;3;1212;22;1190
30633;198;358;302;12;35;26;6;2;3;2;954;10;944
